소련	7
전	60
성실로	1
발사	6
구절	1
인도네시아	1
반성	8
정권	19
점	41
그 후	1
반석	1
접근	2
정	9
캡슐	1
균형발전	30
제철	3
급등	2
러시아	12
한국개발연구원	1
상태	15
이성	1
정미년	1
평시	2
인사	60
의존도	2
대문	2
빈부	4
만족	7
발상	2
호흡	1
이라크 전쟁	2
기생충	1
규명	1
스케이트	1
개탄	2
강토	1
농정	4
덕택	2
누리	1
서열	1
제공	19
물밑	1
국민정당	1
수익	3
인색	1
나열	1
코리아	2
인상	13
김상하	3
핵안보정상회의	3
귀향길	1
한국병	2
발생	6
규모	21
통신망	7
하늘	10
국제	109
생산량	2
비상계엄	1
제고	4
국정	75
거울	1
회교	1
마중	1
경수로	1
철석	1
화두	2
용맹	2
선양	8
컨설팅	3
타성	3
복원	4
부모님	2
순위	4
진리	2
수임	1
존	1
동서	1
수입	4
경부	1
모금	1
녹색 뉴딜	1
인생	4
성장산업	7
역내	3
사도	2
선언	6
탄생	9
심금	1
보위	2
답보	1
대한민국의 국가	1
편안	9
특별회계	1
수재	2
햇볕정책	2
월드	1
구조	40
양민	1
원한	1
후원	2
관행	15
귀빈	22
날씨	2
증가세	1
인성	2
정기	1
내실	11
민국정부	1
자비	1
존슨	1
무성의	1
국제정치	1
군정	2
박수	5
독립운동	2
최소한	2
감수성	1
보육	11
내신	1
보유	4
낙오	5
한국통신	2
여년	2
새날	2
마스크	4
의장국	9
고립	1
제국	2
반세기	9
직면	5
산업구조	1
부활	2
상승세	1
선열	1
교착	1
교차	3
G5	2
판매	2
액수	1
습득	2
G7	4
G9	2
창구	1
고리	8
출시	1
연내	2
일상	19
출신	1
샌드박스	2
학대	1
혼란	24
종사	4
단체장	2
우리	5
용명	1
정무직	1
수정	1
중학교	2
창출	56
활동	35
유감	2
검약	2
경인년	1
허언	1
정지원	1
미연	5
대통령제	1
지목	2
제3공화국	2
시무식	5
유가	11
일생	2
정치	181
주	4
감당	3
폐습	1
호랑이	4
사용량	1
예측	12
이분법	1
인권법	2
명당	1
서울	21
청년 실업	1
기술자	4
처리장	1
복이	1
근래	2
쌀값	1
개통	2
쾌유	1
재무	1
유착	12
중	5
한국국제협력단	1
불행	11
제출	1
법대	1
허영	2
광저우	7
보장	40
긴급조치	1
격상	1
기술인	1
어로	2
머릿속	1
청와대	7
기념	1
문민정부	9
숙제	3
품격	3
일선	1
아랑곳	1
의약	1
마이너스	4
낙원	1
맞이	1
통찰력	1
이기주의	2
특정인	1
탄소	18
획기	1
안전보장	3
마음속	3
미완	2
공산당	5
응용	2
철수	4
각하	1
신한국당	4
탈세	1
연구소	2
1930년대	3
교체	6
건의	2
플러스	6
에너지	18
공략	1
네이처	1
영세민	2
비무장지대	3
중앙고속도로	1
굽이	1
청사	1
밀양	1
보전	17
응원	2
일소	2
남아	1
직무	3
동남아	3
중상모략	1
제기	5
거절	1
변칙	1
화합	29
1966년	1
상투	1
디지털 경제	2
원활	1
본인	52
까치	1
퇴보	1
양보	11
원화	2
증	1
화학	3
이만큼	1
장벽	2
감독	3
활성화	36
이바지	5
정보화 시대	7
교육기관	2
후발국	1
건재	1
불안감	4
언론	49
임사	1
방산	3
당부	35
종속	1
경제활동	6
거점	4
터득	1
소리	8
무역수지	9
교과	1
실수요자	2
청산	15
화해	22
석유	2
진흥청	1
손경식	2
한국민	1
지	2
걸음	11
직	2
진	2
한편	32
훈장	1
질	17
소망	44
나이	2
대책반	1
순조	3
짐	5
집	26
걱정	41
전세금	1
짓	1
장병	19
전념	5
재미	1
대변	2
외세	1
영산강	3
불화	1
감동	8
짝	2
과학기술위성	1
패러	1
후반기	1
정보화 사회	2
탐색	1
조국통일	2
재발	7
보육비	1
보조	2
수준	90
부흥	6
권역	1
근로	24
불황	18
고령자	1
안온	1
허용	8
갈등	30
명예심	1
8·15	1
위난	1
투자자	8
장학생	1
국민의 힘	9
일수	5
건전	6
좌석	1
건설업	1
훼손	3
공로	3
그룹	1
결산	1
경각심	1
자유 시장	1
보존	4
본전	1
재배	1
사다리	1
따돌림	1
공론	1
선의	1
눈물	6
건설역	1
헬스	3
의욕	26
민간인	2
전통	44
중남미	5
덕담	1
신바람	1
가호	9
규범	1
도약	111
제정부	3
한반도	82
국제사회	33
동시	23
초등학교	1
사학	2
동작중학교	1
총선거	2
키르기스스탄	1
물관리	5
상당	6
선인	1
고무	4
충실	8
새나라	1
88년	3
상대	11
실내	2
운명	12
말싸움	1
상담	1
고문	3
로스엔젤레스	1
포상	3
주도	41
손맛	1
완전	10
사항	6
성탄절	1
강도	2
어른	1
이정표	4
경제성장	21
문화콘텐츠	1
기능	5
의원	2
실태	4
소명	7
유출	1
노골	1
5.16	1
청소	1
신념	17
지배	10
질문	1
1960년대	1
지방	47
충심	36
피겨 스케이팅	1
연설문	8
신년	37
인식	26
노고	38
소용돌이	2
급락	1
금융노련	1
소모	6
기틀	23
참여도	1
감옥소	1
친구	5
여대	1
혼연일체	5
방송	28
휴대전화	1
프런티어	1
한중 관계	2
결성	1
여당	2
전세계	13
대북	7
병자년	1
5.18	1
그릇	2
황폐	1
서해안	1
승화	3
안위	1
수질	2
아이	12
사양산업	1
어머님	1
증산	7
지정학	4
역대	8
임술년	2
수지	1
산하	1
전투	2
산학	2
대대적	3
추억	1
어머니	4
한푼	1
편의	1
실물경제	2
사고방식	1
경제자유구역	2
준동	2
통역	1
행정력	1
기대	72
한국형발사체	1
결속	1
인건비	2
민의	1
응전	2
폭설	1
그림	3
꿈속	2
유통업	1
평화통일	15
반체제	1
아마추어	2
숫자	6
생방송	1
수확량	1
영남	2
해결력	1
종식	2
관심사	3
선제	8
선점	5
비상	21
국제수지	3
권위	2
선정	5
일실	1
사형	1
유급	1
평양	1
일시	10
선전	5
화물차	2
벨트	4
적대	1
